name,team,position,value,total_points
Tyrone Mings,91,2,44.0,0.0
Valon Behrami,57,3,45.0,0.0
Victor Moses,8,3,65.0,6.0
Victor Wanyama,6,3,49.0,0.0
Vincent Janssen,6,4,74.0,0.0
Vincent Kompany,43,2,60.0,0.0
Virgil van Dijk,14,2,54.0,1.0
Wayne Hennessey,31,1,45.0,3.0
Wayne Rooney,11,4,75.0,2.0
Wayne Routledge,80,3,54.0,0.0
Wes Morgan,13,2,45.0,2.0
Wilfred Ndidi,13,3,50.0,2.0
Wilfried Bony,80,4,60.0,1.0
Wilfried Zaha,31,3,68.0,0.0
Willian Borges Da Silva,8,3,71.0,3.0
Willy Caballero,8,1,49.0,0.0
Winston Reid,21,2,49.0,9.0
Xherdan Shaqiri,110,3,59.0,7.0
Yannick Bolasie,11,3,65.0,0.0
Yohan Benalouane,13,2,44.0,0.0
Yohan Cabaye,31,3,55.0,1.0
Younes Kaboul,57,2,44.0,0.0
Zlatan Ibrahimovic,1,4,100.0,0.0
Aaron Mooy,38,3,57.0,2.0
Abdelhamid Sabiri,38,3,50.0,5.0
Adam Legzdins,90,1,40.0,0.0
Ahmed El-Sayed Hegazi,35,2,49.0,6.0
Aleksandar Dragovic,13,2,50.0,0.0
Aleksandar Mitrovic,4,4,49.0,0.0
Alexandre Lacazette,3,4,104.0,2.0
Andreas Christensen,8,2,55.0,1.0
André Carrillo,57,3,55.0,2.0
Anthony Knockaert,36,3,59.0,2.0
Antonio Rüdiger,8,2,59.0,0.0
Ayoze Pérez,4,4,55.0,2.0
Benjamin Mendy,43,2,65.0,6.0
Beram Kayal,36,3,44.0,0.0
Bernardo Mota Veiga de Carvalho e Silva,43,3,77.0,1.0
Brahim Diaz,43,3,49.0,0.0
Bruno Saltor Grau,36,2,45.0,0.0
Chancel Mbemba,4,2,40.0,2.0
Charlie Taylor,90,2,44.0,0.0
Charly Musonda,8,3,48.0,0.0
Christian Atsu,4,3,50.0,9.0
Christopher Schindler,38,2,46.0,1.0
Chris Löwe,38,2,45.0,2.0
Chris Wood,90,4,65.0,2.0
Ciaran Clark,4,2,45.0,1.0
Collin Quaner,38,4,45.0,1.0
Connor Goldson,36,2,40.0,0.0
Dale Stephens,36,3,45.0,2.0
Danilo Luiz da Silva,43,2,55.0,0.0
Danny Ward,14,1,45.0,0.0
Danny Williams,38,3,49.0,2.0
Daryl Murphy,4,4,45.0,0.0
Davide Zappacosta,8,2,60.0,0.0
Davinson Sánchez,6,2,60.0,6.0
Davy Klaassen,11,3,73.0,0.0
Davy Pröpper,36,3,55.0,2.0
Dean Whitehead,38,3,44.0,0.0
Dwight Gayle,4,4,63.0,1.0
Ederson Santana de Moraes,43,1,55.0,6.0
Elias Kachunga,38,3,60.0,2.0
Eric Maxim Choupo-Moting,110,3,56.0,2.0
Ezequiel Schelotto,36,2,45.0,0.0
Fikayo Tomori,8,2,45.0,0.0
Florent Hadergjonaj,38,2,45.0,0.0
Florian Lejeune,4,2,44.0,0.0
Francisco Femenía Far,57,2,45.0,0.0
Freddie Woodman,4,1,40.0,0.0
Gaëtan Bong,36,2,44.0,0.0
Glenn Murray,36,4,58.0,1.0
Grant Hanley,4,2,40.0,0.0
Grzegorz Krychowiak,35,3,50.0,3.0
Harry Bunn,38,3,45.0,0.0
Henri Saivet,4,3,45.0,0.0
Isaac Hayden,4,3,45.0,1.0
Isaiah Brown,36,3,54.0,0.0
Jack Colback,4,3,44.0,0.0
Jack Payne,38,3,45.0,0.0
Jacob Murphy,4,3,53.0,0.0
Jairo Riedewald,31,2,49.0,0.0
Jamaal Lascelles,4,2,45.0,8.0
Jamie Murphy,36,3,49.0,0.0
Jan Bednarek,20,2,44.0,0.0
Jason Lokilo,31,3,44.0,0.0
Javier Hernández Balcázar,21,4,71.0,2.0
Jeremie Boga,8,3,60.0,0.0
Jesé Rodríguez Ruiz,110,3,60.0,2.0
Jesús Gámez Duarte,4,2,40.0,0.0
Jiri Skalak,36,3,49.0,0.0
Joel Coleman,38,1,40.0,0.0
Joe Lolley,38,3,44.0,0.0
Jon Gorenc Stankovic,38,2,40.0,0.0
Jonas Lössl,38,1,46.0,2.0
Jonathan Hogg,38,3,45.0,1.0
Jonjo Shelvey,4,3,54.0,1.0
José Heriberto Izquierdo Mena,36,3,60.0,1.0
Juan Foyth,6,2,45.0,0.0
Karl Darlow,4,1,45.0,0.0
Kasey Palmer,8,3,54.0,0.0
Kyle Bartley,80,2,44.0,0.0
Kyle Scott,8,3,45.0,0.0
Kyle Walker-Peters,6,2,44.0,0.0
Laurent Depoitre,38,4,52.0,9.0
Levi Lumeka,31,3,45.0,0.0
Lewis Dunk,36,2,45.0,1.0
Liam Rosenior,36,2,40.0,1.0
Mario Lemina,20,3,50.0,3.0
Markus Suttner,36,2,45.0,1.0
Mark Hudson,38,2,40.0,0.0
Martin Cranie,38,2,40.0,0.0
Marvin Zeegelaar,57,2,45.0,0.0
Massadio Haidara,4,2,40.0,0.0
Mathew Ryan,36,1,45.0,1.0
Mathias Jorgensen,38,2,46.0,2.0
Matty James,13,3,45.0,0.0
Matt Ritchie,4,3,59.0,11.0
Michael Hefele,38,2,44.0,0.0
Mikel Merino,4,3,50.0,1.0
Mohamed Salah,14,3,91.0,10.0
Nahki Wells,90,4,49.0,0.0
Niki Mäenpää,36,1,40.0,0.0
Nikola Vlasic,11,3,55.0,0.0
Oliver Burke,35,3,55.0,0.0
Oliver Norwood,36,3,45.0,0.0
Orestis Karnezis,57,1,45.0,0.0
Pascal Groß,36,3,55.0,7.0
Paul Dummett,4,2,44.0,0.0
Philip Billing,38,3,45.0,0.0
Phil Foden,43,3,49.0,0.0
Rajiv van La Parra,38,3,49.0,1.0
Reiss Nelson,3,3,50.0,0.0
Renato Sanches,80,3,50.0,1.0
Richarlison de Andrade,57,3,60.0,2.0
Robert Elliot,4,1,41.0,3.0
Rolando Aarons,4,3,45.0,0.0
Roque Mesa,80,3,44.0,0.0
Sam Baldock,36,4,50.0,0.0
Sandro Ramírez,11,4,73.0,1.0
Scott Malone,38,2,44.0,0.0
Sead Haksabanovic,21,3,50.0,0.0
Sead Kolasinac,3,2,60.0,5.0
Sean Scannell,38,3,45.0,0.0
Serge Aurier,6,2,60.0,1.0
Shane Duffy,36,2,45.0,1.0
Siem de Jong,4,3,49.0,0.0
Solomon March,36,3,50.0,7.0
Steve Mounie,38,4,61.0,0.0
Steve Sidwell,36,3,45.0,0.0
Tammy Abraham,80,4,55.0,2.0
Tashan Oakley-Boothe,6,3,45.0,0.0
Tiemoué Bakayoko,8,3,50.0,1.0
Tim Krul,36,1,40.0,0.0
Tomer Hemed,36,4,49.0,2.0
Tommy Smith,38,2,50.0,2.0
Tom Ince,38,3,60.0,2.0
Uwe Hünemeier,36,2,39.0,0.0
Vicente Iborra,13,3,58.0,0.0
Victor Lindelöf,1,2,51.0,0.0
Wesley Hoedt,20,2,50.0,7.0
Will Hughes,57,3,48.0,0.0
Yoan Gouffran,4,3,50.0,0.0
Álvaro Morata,8,4,102.0,1.0
